Dataset,Package,File,Number of alerts
upstream-repos,aom,D:\bandit\upstream-repos\aom\tools\ratectrl_log_analyzer\analyze_ratectrl_log.py,1
upstream-repos,apache-arrow,D:\bandit\upstream-repos\apache-arrow\cpp\build-support\fuzzing\pack_corpus.py,1
upstream-repos,apache-arrow,D:\bandit\upstream-repos\apache-arrow\cpp\build-support\iwyu\iwyu_tool.py,1
upstream-repos,apache-arrow,D:\bandit\upstream-repos\apache-arrow\cpp\tools\binary_symbol_explore.py,1
upstream-repos,apache-arrow,D:\bandit\upstream-repos\apache-arrow\dev\archery\archery\crossbow\core.py,1
upstream-repos,apache-arrow,D:\bandit\upstream-repos\apache-arrow\dev\archery\archery\utils\report.py,1
upstream-repos,apache-arrow,D:\bandit\upstream-repos\apache-arrow\python\pyarrow\util.py,1
upstream-repos,apache-nifi,No file,0
upstream-repos,apache-orc,No file,0
upstream-repos,apache2,No file,0
upstream-repos,argo-workflows,D:\bandit\upstream-repos\argo-workflows\sdks\python\sdk_version.py,1
upstream-repos,arpack,No file,0
upstream-repos,asciidoc,D:\bandit\upstream-repos\asciidoc\asciidoc\asciidoc.py,2
upstream-repos,asciidoc,D:\bandit\upstream-repos\asciidoc\asciidoc\resources\filters\latex\latex2img.py,2
upstream-repos,asciidoc,D:\bandit\upstream-repos\asciidoc\asciidoc\resources\filters\music\music2png.py,2
upstream-repos,asciidoc,D:\bandit\upstream-repos\asciidoc\setup.py,2
upstream-repos,asciidoc,D:\bandit\upstream-repos\asciidoc\asciidoc\a2x.py,1
upstream-repos,asciidoc,D:\bandit\upstream-repos\asciidoc\asciidoc\resources\filters\graphviz\graphviz2png.py,1
upstream-repos,atlantis,No file,0
upstream-repos,audit,No file,0
upstream-repos,avahi,No file,0
upstream-repos,aws-c-auth,No file,0
upstream-repos,aws-c-cal,No file,0
upstream-repos,aws-c-common,D:\bandit\upstream-repos\aws-c-common\scripts\import_libcbor.py,1
upstream-repos,aws-c-compression,No file,0
upstream-repos,aws-c-event-stream,No file,0
upstream-repos,aws-c-http,No file,0
upstream-repos,aws-c-io,No file,0
upstream-repos,aws-c-mqtt,D:\bandit\upstream-repos\aws-c-mqtt\codebuild\CanaryWrapper_Classes.py,2
upstream-repos,aws-c-s3,No file,0
upstream-repos,aws-c-sdkutils,No file,0
upstream-repos,aws-checksums,No file,0
upstream-repos,aws-cli-v2,D:\bandit\upstream-repos\aws-cli-v2\awscli\customizations\codedeploy\systems.py,1
upstream-repos,aws-cli-v2,D:\bandit\upstream-repos\aws-cli-v2\awscli\customizations\opsworks.py,1
upstream-repos,aws-cli-v2,D:\bandit\upstream-repos\aws-cli-v2\awscli\customizations\s3uploader.py,1
upstream-repos,aws-cli-v2,D:\bandit\upstream-repos\aws-cli-v2\awscli\testutils.py,1
upstream-repos,aws-cli-v2,D:\bandit\upstream-repos\aws-cli-v2\doc\source\bootstrapdocs.py,1
upstream-repos,aws-cli-v2,D:\bandit\upstream-repos\aws-cli-v2\tests\unit\customizations\test_s3uploader.py,1
upstream-repos,aws-crt-cpp,D:\bandit\upstream-repos\aws-crt-cpp\codebuild\CanaryWrapper_Classes.py,2
upstream-repos,aws-efs-csi-driver,D:\bandit\upstream-repos\aws-efs-csi-driver\troubleshooting\log_collector.py,1
upstream-repos,aws-network-policy-agent,No file,0
upstream-repos,azcopy,D:\packj\upstream-repos\azcopy\testSuite\scripts\utility.py,4
upstream-repos,azcopy,D:\packj\upstream-repos\azcopy\testSuite\scripts\test_blob_piping.py,1
upstream-repos,bash-completion,No file,0
upstream-repos,basisu,No file,0
upstream-repos,bat,D:\bandit\upstream-repos\bat\tests\snapshots\generate_snapshots.py,1
upstream-repos,bazelisk,No file,0
upstream-repos,benchmark,No file,0
upstream-repos,binaryen,D:\bandit\upstream-repos\binaryen\scripts\update_lit_checks.py,1
upstream-repos,blosc,No file,0
upstream-repos,botan,D:\bandit\upstream-repos\botan\src\editors\vscode\scripts\common.py,1
upstream-repos,botan,D:\bandit\upstream-repos\botan\src\scripts\dist.py,1
upstream-repos,brotli,D:\bandit\upstream-repos\brotli\scripts\dictionary\step-03-validate-bin.py,2
upstream-repos,brunsli,No file,0
upstream-repos,bubblewrap,No file,0
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\website\gen_docs.py,5
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\app\buck2_explain\build_html.py,2
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\prelude\python\tools\extract.py,2
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\prelude\rust\tools\buildscript_run.py,2
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\tests\core\build\actions\test_actions.py,2
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\prelude\android\tools\combine_native_library_dirs.py,1
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\prelude\apple\tools\code_signing\provisioning_profile_metadata.py,1
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\prelude\cxx\dist_lto\tools\dist_lto_planner_darwin.py,1
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\prelude\haskell\tools\script_template_processor.py,1
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\tests\core\build\test_dep_files.py,1
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\tests\core\run\test_run.py,1
upstream-repos,buck2,D:\bandit\upstream-repos\buck2\tests\e2e_util\buck_workspace.py,1
upstream-repos,byobu,No file,0
upstream-repos,cadvisor,No file,0
upstream-repos,calico-3.28,D:\bandit\upstream-repos\calico-3.28\hack\postrelease\test_images.py,5
upstream-repos,calico-3.28,D:\bandit\upstream-repos\calico-3.28\calicoctl\tests\st\utils\utils.py,4
upstream-repos,calico-3.28,D:\bandit\upstream-repos\calico-3.28\node\tests\st\utils\utils.py,4
upstream-repos,calico-3.28,D:\bandit\upstream-repos\calico-3.28\node\tests\k8st\utils\utils.py,1
upstream-repos,cargo-audit,No file,0
upstream-repos,cassandra-5.0,D:\bandit\upstream-repos\cassandra-5.0\pylib\cqlshlib\copyutil.py,1
upstream-repos,cassandra-reaper,No file,0
upstream-repos,Catch2,No file,0
upstream-repos,ccache,No file,0
upstream-repos,chartmuseum,No file,0
upstream-repos,checkov,No file,0
upstream-repos,chezmoi,No file,0
upstream-repos,cilium-1.16,No file,0
upstream-repos,cjson,No file,0
upstream-repos,clblast,D:\bandit\upstream-repos\clblast\scripts\benchmark\utils.py,1
upstream-repos,cli11,No file,0
upstream-repos,cloudflared,D:\bandit\upstream-repos\cloudflared\github_release.py,2
upstream-repos,cloudflared,D:\bandit\upstream-repos\cloudflared\ssh_server_tests\tests.py,1
upstream-repos,cluster-api-controller,No file,0
upstream-repos,cluster-autoscaler-1.31,No file,0
upstream-repos,clusterctl,No file,0
upstream-repos,collectd,No file,0
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\conda_build\utils.py,5
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\conda_build\build.py,2
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\conda_build\metadata.py,2
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\tests\test_api_build.py,2
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\conda_build\convert.py,1
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\conda_build\os_utils\liefldd.py,1
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\conda_build\render.py,1
upstream-repos,conda-build,D:\bandit\upstream-repos\conda-build\conda_build\skeletons\cpan.py,1
upstream-repos,conda,D:\bandit\upstream-repos\conda\conda\gateways\connection\adapters\ftp.py,2
upstream-repos,conda,D:\bandit\upstream-repos\conda\tests\data\env_metadata\envpy37win\Lib\site-packages\pywin32-223-py3.7-win-amd64.egg\EGG-INFO\scripts\pywin32_testall.py,2
upstream-repos,conda,D:\bandit\upstream-repos\conda\tests\test_create.py,2
upstream-repos,conda,D:\bandit\upstream-repos\conda\conda\cli\main_package.py,1
upstream-repos,conda,D:\bandit\upstream-repos\conda\conda\gateways\disk\delete.py,1
upstream-repos,conda,D:\bandit\upstream-repos\conda\conda\gateways\repodata\__init__.py,1
upstream-repos,conda,D:\bandit\upstream-repos\conda\tests\test_shell.py,1
upstream-repos,configurable-http-proxy,No file,0
upstream-repos,confluent-common-docker,No file,0
upstream-repos,confluent-docker-utils,D:\bandit\upstream-repos\confluent-docker-utils\confluent\docker_utils\cub.py,3
upstream-repos,confluent-docker-utils,D:\bandit\upstream-repos\confluent-docker-utils\confluent\docker_utils\__init__.py,1
upstream-repos,confluent-docker-utils,D:\bandit\upstream-repos\confluent-docker-utils\confluent\docker_utils\dub.py,1
upstream-repos,confluent-kafka-images,No file,0
upstream-repos,confluent-kafka,D:\bandit\upstream-repos\confluent-kafka\committer-tools\reviewers.py,1
upstream-repos,confluent-kafka,D:\bandit\upstream-repos\confluent-kafka\tests\kafkatest\services\security\security_config.py,1
upstream-repos,confluent-kafka,D:\bandit\upstream-repos\confluent-kafka\tests\kafkatest\tests\connect\connect_test.py,1
upstream-repos,couchdb-3.3,No file,0
upstream-repos,cpp-httplib,No file,0
upstream-repos,crac-criu,D:\bandit\upstream-repos\crac-criu\test\zdtm.py,5
upstream-repos,crac-criu,D:\bandit\upstream-repos\crac-criu\soccr\test\run.py,2
upstream-repos,crac-criu,D:\bandit\upstream-repos\crac-criu\test\inhfd\fifo.py,2
upstream-repos,crac-criu,D:\bandit\upstream-repos\crac-criu\soccr\test\tcp-test.py,1
upstream-repos,crac-criu,D:\bandit\upstream-repos\crac-criu\test\others\mounts\mounts.py,1
upstream-repos,crc32c,No file,0
upstream-repos,crfsuite,D:\bandit\upstream-repos\crfsuite\bench\collect.py,1
upstream-repos,crossplane-provider-aws,No file,0
upstream-repos,crossplane-provider-azure,No file,0
upstream-repos,crossplane-provider-gcp,No file,0
upstream-repos,curl-rustls,No file,0
upstream-repos,cyrus-sasl,No file,0
upstream-repos,cython-0,D:\bandit\upstream-repos\cython-0\runtests.py,3
upstream-repos,cython-0,D:\bandit\upstream-repos\cython-0\Cython\Build\BuildExecutable.py,1
upstream-repos,dagger,No file,0
upstream-repos,dask-gateway,No file,0
upstream-repos,dbmate,No file,0
upstream-repos,delta,No file,0
upstream-repos,delve,No file,0
