Dataset,Package,File,Number of alerts
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/main_parser.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/progress_bars.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/req_command.py,2
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/spinners.py,2
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/__init__.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/cache.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/completion.py,2
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/configuration.py,5
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/debug.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/commands/hash.py,2
