Dataset,Package,File,Number of alerts
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_cleartasks.py,83
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\www\test_utils.py,83
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\airflow_core\test_triggerer.py,81
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\operators\test_bigquery.py,81
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\dag_processing\test_job_runner.py,80
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\io\test_path.py,80
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\utils\test_log_handlers.py,80
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\assets\test_asset.py,79
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\airflow_core\test_dag_processor.py,78
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\transfers\test_redshift_to_s3.py,78
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\apache\hive\hooks\test_hive.py,78
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\fab\auth_manager\api_endpoints\test_user_endpoint.py,77
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\hooks\test_gcs.py,77
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\apache\spark\hooks\test_spark_submit.py,76
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\cncf\kubernetes\operators\test_job.py,76
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\operators\test_mlengine.py,75
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\operators\test_dms.py,73
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\databricks\operators\test_databricks.py,73
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\cli\commands\test_dag_command.py,73
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\common\hooks\test_base_google.py,72
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\transfers\test_s3_to_redshift.py,71
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\apache\beam\operators\test_beam.py,71
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\hashicorp\hooks\test_vault.py,71
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\api_connexion\endpoints\test_mapped_task_instance_endpoint.py,71
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\cli\commands\test_task_command.py,71
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\other\test_flower.py,70
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\mysql\hooks\test_mysql.py,70
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\oracle\hooks\test_oracle.py,70
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\sftp\hooks\test_sftp.py,70
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\kubernetes_tests\test_kubernetes_pod_operator.py,69
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\executors\batch\test_batch_executor.py,69
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\hooks\test_dataprep.py,69
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\ssh\hooks\test_ssh.py,69
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\utils\test_connection_wrapper.py,68
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\opensearch\log\test_os_task_handler.py,67
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\dev\breeze\tests\test_packages.py,66
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\executors\test_base_executor.py,66
