package_name,version,epoch,repository
git-sync,4.3.0,0,https://github.com/kubernetes/git-sync
gke-gcloud-auth-plugin,0.0.2,13,https://github.com/kubernetes/cloud-provider-gcp
glab,1.47.0,0,https://gitlab.com/gitlab-org/cli
glib,2.82.1,0,https://gitlab.gnome.org/GNOME/glib.git
glog,0.7.1,1,https://github.com/google/glog
glow,2.0.0,1,https://github.com/charmbracelet/glow
glslang,1.3.261.1,3,https://github.com/KhronosGroup/glslang
go-1.22,1.22.8,0,https://github.com/golang/go
go-1.23,1.23.2,0,https://github.com/golang/go
go-bindata,3.1.3,23,https://github.com/go-bindata/go-bindata
gobump,0.8.0,1,https://github.com/chainguard-dev/gobump.git
gobuster,3.6.0,14,https://github.com/OJ/gobuster
go-discover,0_git20241006,0,https://github.com/hashicorp/go-discover
golangci-lint,1.61.0,0,https://github.com/golangci/golangci-lint
go-licenses,1.6.0,16,https://github.com/google/go-licenses
go-md2man,2.0.5,0,https://github.com/cpuguy83/go-md2man
gomplate,4.1.0,2,https://github.com/hairyhenderson/gomplate
gops,0.3.28,13,https://github.com/google/gops
goreleaser,2.3.2,0,https://github.com/goreleaser/goreleaser
gostatsd,28.3.0,6,https://github.com/atlassian/gostatsd
gosu,1.17,8,https://github.com/tianon/gosu
govulncheck,1.0.2,7,https://go.googlesource.com/vuln
gperftools,2.16,0,https://github.com/gperftools/gperftools.git
gptscript,0.9.5,0,https://github.com/gptscript-ai/gptscript
gpu-feature-discovery,0.8.2,6,https://github.com/NVIDIA/gpu-feature-discovery
gradle-8,8.10.2,0,https://github.com/gradle/gradle
grafana-11.2,11.2.1,1,https://github.com/grafana/grafana
grafana-agent-operator,0.43.3,0,https://github.com/grafana/agent
grafana-alloy,1.4.2,0,https://github.com/grafana/alloy
grafana-mimir,2.13.0,3,https://github.com/grafana/mimir
grafana-operator,5.14.0,0,https://github.com/grafana-operator/grafana-operator
grafana-rollout-operator-0.14,0.14.0,4,https://github.com/grafana/rollout-operator
graphite2,1.3.14,3,https://github.com/silnrsi/graphite
grpc-health-probe,0.4.34,0,https://github.com/grpc-ecosystem/grpc-health-probe
grpcurl,1.9.1,6,https://github.com/fullstorydev/grpcurl
grpc,1.65.5,1,https://github.com/grpc/grpc
grype,0.81.0,0,https://github.com/anchore/grype
gstreamer,1.24.8,0,https://github.com/GStreamer/gstreamer
gtest,1.15.2,1,https://github.com/google/googletest
gtk-4,4.16.3,0,https://gitlab.gnome.org/GNOME/gtk.git
guac,0.9.0,0,https://github.com/guacsec/guac
gzip,1.13,3,https://git.savannah.gnu.org/git/gzip.git
haproxy-ingress,0.14.7,3,https://github.com/jcmoraisjr/haproxy-ingress
harbor-2.11,2.11.1,1,https://github.com/goharbor/harbor
harbor-cli,0.0.1,5,https://github.com/goharbor/harbor-cli
harbor-registry,3.0.0_alpha1,7,https://github.com/distribution/distribution
harbor-scanner-trivy,0.31.4,1,https://github.com/aquasecurity/harbor-scanner-trivy
hardening-check,2.24.1,0,https://salsa.debian.org/debian/devscripts.git
hcloud,1.47.0,1,https://github.com/hetznercloud/cli
hdf5,1.14.2,0,https://github.com/HDFGroup/hdf5
helix,24.07,0,https://github.com/helix-editor/helix
hello-world-golang,1.3,6,https://github.com/chainguard-dev/hello-world-golang.git
helm-docs,1.14.2,1,https://github.com/norwoodj/helm-docs/
helm-operator,1.37.0,0,https://github.com/operator-framework/operator-sdk
helm-push,0.10.4,15,https://github.com/chartmuseum/helm-push
helm,3.16.1,0,https://github.com/helm/helm
hey,0.1.4,16,https://github.com/rakyll/hey
hickory-dns,0.24.1,1,https://github.com/hickory-dns/hickory-dns
hiredis,1.2.0,1,https://github.com/redis/hiredis
hivemind,1.1.0,3,https://github.com/DarthSim/hivemind
http-echo,1.0.0,9,https://github.com/hashicorp/http-echo
httpie,3.2.3,0,https://github.com/httpie/httpie
http-parser,2.9.4,5,https://github.com/nodejs/http-parser
hubble-ui,0.13.1,6,https://github.com/cilium/hubble-ui
hubble,1.16.2,0,https://github.com/cilium/hubble
hugo-extended,0.135.0,0,https://github.com/gohugoio/hugo
hugo,0.135.0,0,https://github.com/gohugoio/hugo
imath,3.1.12,1,https://github.com/AcademySoftwareFoundation/Imath
influxd,2.7.10,1,https://github.com/influxdata/influxdb
influx,2.7.5,4,https://github.com/influxdata/influx-cli
ingress-nginx-controller-1.11,1.11.2,3,https://github.com/kubernetes/ingress-nginx
inih,58,1,https://github.com/benhoyt/inih
iniparser,4.2.4,3,https://github.com/ndevilla/iniparser
inotify-tools,4.23.9.0,0,https://github.com/inotify-tools/inotify-tools
iperf3,3.17.1,1,https://github.com/esnet/iperf
ipfs,0.30.0,0,https://github.com/ipfs/kubo
ip-masq-agent,2.9.3,15,https://github.com/kubernetes-sigs/ip-masq-agent.git
iproute2,6.11.0,0,https://git.kernel.org/pub/scm/network/iproute2/iproute2.git
ipset,7.22,1,https://git.netfilter.org/ipset
iptables,1.8.10,4,https://git.netfilter.org/iptables
iputils,20240905,0,https://github.com/iputils/iputils
ipvsadm,1.31,1,https://git.kernel.org/pub/scm/utils/kernel/ipvsadm/ipvsadm.git
isa-l,2.31.0,0,https://github.com/intel/isa-l
isl,0.26,4,https://repo.or.cz/isl.git
istio-1.23,1.23.2,0,https://github.com/istio/istio
istio-envoy-1.23,1.23.2,0,https://github.com/istio/proxy
ivykis,0.43.2,0,https://github.com/buytenh/ivykis
jaeger,1.61.0,2,https://github.com/jaegertracing/jaeger
